code,name,pct_collected_12m,road_cells,band_0-12,band_12-24,band_>24,band_never
E04003457,Winterborne Clenston,0.0,45,0,0,0,45
E04003620,Winterborne Herringston,75.9,54,41,0,0,13
E04003458,Winterborne Houghton,0.0,106,0,0,0,106
E04010505,Winterborne Kingston,0.0,150,0,0,0,150
E04013394,Winterborne Monkton,100.0,81,81,0,0,0
E04013395,Winterborne St. Martin,85.3,265,226,0,0,39
E04003460,Winterborne Stickland,0.0,148,0,0,0,148
E04003461,Winterborne Whitechurch,0.0,221,0,0,0,221
E04003462,Winterborne Zelston,0.0,59,0,0,0,59
E04003623,Winterbourne Abbas,8.2,97,8,0,0,89
E04003624,Winterbourne Steepleton,66.7,90,60,0,0,30
E04013396,Witchampton,0.0,217,0,0,0,217
E04003389,Woodlands,0.0,192,0,0,0,192
E04003625,Woodsford,93.9,66,62,0,0,4
E04003490,Wool,92.2,398,367,0,0,31
E04003463,Woolland,0.0,96,0,1,0,95
E04003626,Wootton Fitzpaine,64.4,281,181,58,0,42
E04012328,Worth Matravers,0.0,198,0,0,0,198
E04003627,Wraxall,90.1,81,73,1,0,7
E04003628,Wynford Eagle,14.5,117,17,87,0,13
E04003629,Yetminster,81.0,121,98,0,0,23
